# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	0.9.7
#@/tick	6507
#@/user_id	39450050-b813-48cb-bd0a-6ded5e51c872
ai ao wa 	艾奧瓦	c=0 d=0.256945 t=395
ai dun dun 	矮墩墩	c=1 d=1 t=354
ai ren 	矮人	c=1 d=1.09501 t=3691
ai ren jin shu ding 	矮人金屬錠	c=1 d=1 t=3692
ai sen zhe 	埃森哲	c=0 d=0.1 t=407
ai sen zhe zhong suo zhou zhi shi shi zai zai zu zhi shi shi ze zai zhong zhong zhang ai a da ding ding ding ding da da de di di da da a a a a qian 	埃森哲衆所周知實實在在組織實施則在重重障礙阿達頂頂頂頂大大的滴滴答答啊啊啊啊前	c=1 d=1 t=408
ai sheng 	愛生	c=1 d=1 t=6271
ai yi 	愛衣	c=1 d=0.10017 t=2506
ai yi jiang 	愛衣醬	c=2 d=1.99005 t=2509
an 	俺	c=0 d=0.1 t=4375
an 	按	c=1 d=1 t=5966
an a ding 	氨吖啶	c=0 d=0.1 t=1568
an an ding ding 	安安定定	c=0 d=0.968607 t=404
an an wen wen 	安安穩穩	c=0 d=0.1 t=392
an jian 	按鍵	c=1 d=1 t=1567
an pai 	安排	c=0 d=0.1 t=6330
an quan 	安全	c=2 d=0.283601 t=4867
an xiu luo 	俺修羅	c=1 d=1 t=4376
an zhuang 	安裝	c=2 d=1 t=6445
ao wan da 	奧萬大	c=1 d=1 t=387
ba 	吧	c=23 d=1.05473 t=6369
ba 	把	c=17 d=1.02283 t=6473
ba 	拔	c=1 d=1 t=3276
ba ba 	爸爸	c=2 d=1.00019 t=4033
ba dong xi gei ta 	把東西給他	c=1 d=1 t=1210
ba ma 	爸媽	c=1 d=1 t=4778
ba qi da she 	八岐大蛇	c=1 d=1 t=4956
ba yue 	八月	c=0 d=0.1 t=3835
ba yue she 	八月社	c=1 d=1 t=3836
bai 	擺	c=1 d=1 t=6088
bai 	白	c=1 d=0.200098 t=4165
bai 	百	c=2 d=1.99005 t=6351
bai bei 	敗北	c=1 d=1 t=204
bai chi 	白癡	c=1 d=1 t=4540
bai da fei li 	百達翡利	c=1 d=1 t=3004
bai da fei li 	百達翡麗	c=1 d=1 t=3005
bai hao 	擺好	c=1 d=1 t=3947
bai kai shui 	白開水	c=1 d=1 t=940
bai ke 	百科	c=1 d=1 t=4740
bai kou zhao 	白口罩	c=1 d=1 t=4165
bai long dao 	白龍島	c=1 d=1 t=2526
bai mo shu shi 	白魔術師	c=1 d=1 t=3057
bai se 	白色	c=1 d=1 t=4590
bai shou tao 	白手套	c=1 d=1 t=4166
ban 	半	c=2 d=1.99501 t=1200
ban 	板	c=1 d=1 t=4442
ban 	版	c=1 d=1.00584 t=3133
ban 	絆	c=0 d=0.1 t=2740
ban an 	辦案	c=1 d=1 t=4833
ban ben 	版本	c=2 d=0.118201 t=4769
ban ben kong zhi 	版本控制	c=1 d=1 t=3799
ban che 	板車	c=1 d=1 t=959
ban jing 	半徑	c=2 d=1.00985 t=6027
ban shi 	辦事	c=1 d=1 t=4689
ban shu 	板書	c=1 d=1 t=3446
ban si 	半死	c=1 d=1 t=4717
ban xiao shi 	半小時	c=1 d=1 t=4533
ban yan 	扮演	c=1 d=1 t=5474
ban yuan 	半圓	c=0 d=0.1 t=6029
ban yuan huan 	半圓環	c=1 d=1 t=6030
ban yue 	半月	c=0 d=0.1 t=4536
ban zhang 	班長	c=1 d=1 t=1792
ban zhuan 	板磚	c=1 d=1 t=1716
ban zi 	板子	c=1 d=1 t=5234
bang 	棒	c=1 d=0.110251 t=6507
bang di 	邦迪	c=1 d=1 t=2804
bang zhu 	幫助	c=1 d=1 t=5764
bao 	包	c=2 d=1.76721 t=3342
bao 	報	c=1 d=1 t=5441
bao bu qi 	保不齊	c=1 d=1 t=1222
bao chi 	保持	c=1 d=1 t=5751
bao cuo 	報錯	c=1 d=1 t=868
bao dao 	報道	c=1 d=0.102606 t=5450
bao dao guo 	報道過	c=1 d=1 t=5451
bao feng 	暴風	c=1 d=1 t=6279
bao feng yu 	暴風雨	c=1 d=1 t=2887
bao gao 	報告	c=3 d=1.62284 t=756
bao guang 	曝光	c=2 d=2.07929 t=432
bao guang la 	曝光啦	c=2 d=1.73345 t=483
bao liao 	爆料	c=1 d=1 t=181
bao lu 	暴露	c=0 d=0.1 t=3084
bao lu le 	暴露了	c=1 d=1 t=3085
bao ni 	保你	c=1 d=1 t=6348
bao qian 	抱歉	c=0 d=0.1 t=255
bao shu 	寶書	c=0 d=0.1 t=4236
bao tou 	爆頭	c=1 d=1 t=6338
bao xiu 	保修	c=1 d=1 t=4564
bao yan 	保研	c=1 d=1.06079 t=2603
bao yan ming e 	保研名額	c=1 d=1 t=2604
bao zha 	爆炸	c=1 d=1 t=5310
bao zhen 	抱枕	c=1 d=1 t=4652
bao zheng 	保證	c=1 d=1 t=5890
bao zhuang 	包裝	c=0 d=0.1 t=3165
bei 	倍	c=2 d=1.95123 t=5007
bei 	備	c=0 d=0.1 t=3818
bei 	被	c=11 d=1.40068 t=6337
bei bao tou 	被爆頭	c=1 d=1 t=1141
bei ci 	背刺	c=1 d=1 t=3256
bei fen 	備份	c=1 d=1 t=4897
bei jing 	北京	c=1 d=1 t=5438
bei jing 	背景	c=2 d=1.01463 t=5437
bei ju 	悲劇	c=4 d=1.09851 t=4481
bei ju 	杯具	c=1 d=1 t=1378
bei sha 	被殺	c=0 d=0.1 t=5648
bei shang 	悲傷	c=1 d=1 t=4694
bei wo 	被我	c=1 d=1 t=4362
bei ze jia she 	備擇假設	c=1 d=1 t=3819
ben ji 	本機	c=1 d=1 t=83
ben lai 	本來	c=2 d=1.01694 t=4323
ben shen 	本身	c=1 d=1 t=5725
ben ti 	本體	c=2 d=1 t=6149
ben ti diao le 	本體掉了	c=1 d=1 t=3026
beng chu 	蹦出	c=1 d=1 t=5209
beng le 	崩了	c=1 d=1 t=4602
bi 	必	c=1 d=1 t=2596
bi 	比	c=2 d=1 t=4349
bi 	碧	c=6 d=1.03198 t=6241
bi dao 	筆刀	c=3 d=2.59208 t=5249
